Geography,Gender,Age,Balance,NumOfProducts,HasCrCard,IsActiveMember,Exited
France,Male,28,97612.12,1,1,1,0
France,Male,20,104719.94,2,1,0,0
France,Female,38,0.0,1,1,0,0
Germany,Male,37,139592.98,3 or more,1,0,1
Spain,Female,29,0.0,2,1,0,0
France,Female,22,139096.85,1,1,0,0
Spain,Female,72,140301.72,1,0,1,0
Spain,Male,43,0.0,1,1,0,0
France,Male,66,0.0,2,1,1,0
Spain,Male,39,111233.09,1,1,1,0
France,Male,23,0.0,2,1,0,0
France,Male,29,147737.63,1,0,1,0
France,Male,35,0.0,2,1,1,0
Germany,Male,40,125725.02,2,1,1,0
France,Male,38,128289.7,3 or more,1,0,1
France,Female,46,0.0,1,1,0,1
Germany,Female,49,88826.07,1,1,1,1
France,Female,41,143443.61,1,1,0,1
France,Female,68,0.0,3 or more,1,1,1
France,Male,29,0.0,2,1,0,0
Spain,Male,26,149134.46,1,1,1,0
France,Male,30,124119.54,1,1,0,0
Germany,Male,44,116822.7,1,0,0,0
France,Female,24,103219.47,1,1,0,0
France,Male,41,0.0,2,0,0,0
Germany,Female,40,81954.6,1,1,1,1
Germany,Female,37,95196.26,1,1,0,1
Spain,Male,43,0.0,2,1,1,0
France,Male,38,0.0,2,1,1,0
France,Female,32,136555.01,2,1,1,0
France,Male,59,0.0,1,1,1,0
France,Male,39,119452.03,1,1,1,0
France,Male,44,0.0,1,0,1,1
Germany,Female,24,69881.09,2,0,1,0
France,Male,39,0.0,2,1,1,0
France,Female,44,0.0,2,1,1,0
Spain,Female,27,0.0,2,0,0,0
Spain,Male,20,204223.03,1,1,0,0
France,Female,63,110314.21,2,1,0,1
Spain,Female,48,163760.82,1,0,0,1
Germany,Female,31,141069.18,3 or more,1,1,0
France,Male,38,115934.74,1,1,1,0
France,Male,52,151457.88,1,0,1,0
Germany,Female,35,154206.07,2,1,1,0
France,Female,26,89928.99,1,1,0,0
France,Male,30,89182.09,1,1,1,0
Germany,Male,41,79706.25,2,1,0,0
Spain,Female,44,0.0,3 or more,0,0,1
France,Female,27,0.0,2,1,0,0
France,Male,31,117799.28,1,1,1,0
France,Male,26,0.0,2,1,0,0
France,Male,28,0.0,2,0,0,0
Germany,Male,34,146422.22,1,1,0,1
Germany,Male,33,150186.22,2,1,1,0
Germany,Male,40,100275.88,1,1,0,1
France,Male,47,0.0,1,1,0,1
France,Male,32,147493.89,1,1,0,0
France,Male,43,0.0,2,1,0,0
France,Female,42,0.0,2,0,1,0
France,Male,29,121823.4,2,1,1,0
Spain,Female,40,0.0,2,1,1,0
Germany,Male,31,113688.63,1,1,0,1
Spain,Female,40,100471.34,1,1,1,0
Germany,Female,28,100032.52,1,1,0,1
Spain,Male,31,0.0,2,0,0,0
France,Male,32,116358.0,1,1,0,0
Germany,Female,23,163549.63,1,0,1,0
Germany,Male,51,99183.9,1,1,1,0
Spain,Female,53,131955.07,1,1,1,1
Spain,Female,41,134177.06,1,0,0,0
Spain,Female,38,0.0,2,1,0,0
France,Male,30,0.0,2,1,1,0
Spain,Male,19,0.0,1,1,1,0
Germany,Female,56,94348.94,1,1,0,1
France,Female,32,155584.21,1,0,1,0
France,Female,28,0.0,2,1,0,0
Spain,Female,41,0.0,2,1,1,0
Germany,Male,32,170661.47,1,1,1,0
Germany,Female,29,185544.36,1,1,0,0
Spain,Female,44,52831.13,1,1,1,1
Germany,Male,51,97750.07,3 or more,1,1,1
France,Male,36,114007.5,2,1,0,0
France,Female,71,104308.77,1,1,1,0
France,Female,33,84719.13,2,1,1,0
France,Male,39,0.0,2,1,0,0
France,Male,39,140236.98,1,0,1,0
Spain,Male,25,0.0,2,1,1,0
Spain,Female,42,75302.85,2,0,0,0
France,Male,27,0.0,2,1,0,0
France,Female,51,104760.82,1,1,1,1
France,Female,49,0.0,1,1,0,1
Spain,Female,31,113693.0,1,0,0,0
Spain,Female,36,174180.39,1,1,0,0
Germany,Male,42,115766.26,1,0,0,1
France,Female,40,0.0,2,1,0,0
Spain,Female,48,0.0,2,1,0,0
France,Female,72,121215.9,2,1,1,0
Germany,Male,45,144677.19,3 or more,1,0,1
France,Male,36,115350.63,1,1,1,0
Spain,Male,40,105683.63,1,1,0,0
France,Male,37,135179.49,1,1,0,0
Spain,Male,31,117551.23,1,1,0,0
Germany,Male,25,157404.02,2,1,0,0
Spain,Male,36,77910.23,1,1,0,0
France,Male,25,110942.9,1,0,0,0
France,Female,40,0.0,2,1,1,0
France,Male,32,179305.09,1,1,1,0
Germany,Male,31,150593.59,2,1,1,0
France,Female,43,123815.86,1,1,1,1
Spain,Female,59,0.0,2,1,1,1
Germany,Female,25,69385.17,2,1,0,0
Germany,Male,27,138032.15,1,1,0,0
France,Male,41,0.0,2,1,1,0
France,Male,29,0.0,1,1,1,0
Germany,Female,46,143500.82,1,1,0,1
Spain,Female,29,119670.18,1,1,0,0
Spain,Male,33,99106.73,1,0,0,0
Germany,Male,24,120135.55,2,1,1,0
France,Female,39,0.0,1,1,0,0
France,Female,55,120905.03,1,0,1,1
Spain,Female,57,0.0,3 or more,0,0,1
Germany,Female,34,102277.52,1,0,0,1
Germany,Female,55,125292.53,1,1,1,1
Spain,Male,42,0.0,1,1,0,0
France,Female,51,101629.3,1,0,0,0
Germany,Male,47,171937.27,1,1,1,0
France,Male,47,0.0,2,1,0,0
France,Male,25,0.0,2,1,0,0
France,Male,34,0.0,2,0,0,0
France,Male,31,129743.75,1,1,0,0
Spain,Male,32,0.0,1,0,1,1
Germany,Male,41,151191.31,1,1,0,1
Germany,Male,32,102630.13,2,1,1,0
France,Female,57,114023.64,2,1,1,1
Germany,Male,41,124227.14,1,1,1,0
France,Female,23,0.0,2,1,1,0
Spain,Male,35,80285.16,1,1,0,1
France,Male,31,175477.15,1,1,1,0
France,Female,29,132144.35,1,1,0,0
Germany,Male,47,136911.07,1,1,1,1
Germany,Male,31,133299.67,2,1,1,0
France,Male,39,0.0,2,1,0,0
Germany,Male,42,117691.0,1,1,1,1
France,Male,35,0.0,2,1,0,0
France,Male,46,0.0,2,1,0,0
Germany,Female,37,133199.71,2,1,1,0
Spain,Male,51,135506.58,3 or more,1,1,1
Germany,Male,33,127154.14,2,0,1,0
Spain,Male,39,0.0,2,1,1,0
Germany,Female,42,49508.79,3 or more,1,1,0
France,Male,41,0.0,1,1,1,0
France,Female,62,75051.49,1,0,0,1
Spain,Male,52,123925.23,1,0,0,1
France,Male,41,0.0,2,0,1,1
France,Male,33,153819.58,1,1,0,1
Spain,Female,39,0.0,2,1,1,0
Spain,Male,30,0.0,2,0,1,0
Spain,Female,23,70417.79,1,0,1,0
Spain,Male,38,111484.88,1,1,1,0
Spain,Male,38,146343.98,1,0,1,0
France,Male,72,160541.0,2,1,1,0
Germany,Male,27,130274.26,2,1,0,0
France,Female,21,98993.02,1,1,1,0
Spain,Male,36,0.0,2,1,0,0
Germany,Male,32,141827.33,2,1,1,0
France,Female,40,110054.45,1,1,1,0
France,Male,28,0.0,2,1,1,0
Spain,Male,28,0.0,1,1,0,0
Germany,Female,36,98088.09,1,0,1,1
France,Male,48,118317.27,3 or more,0,0,1
Spain,Male,22,0.0,2,1,0,0
Germany,Male,54,99774.5,1,0,0,1
France,Female,32,0.0,2,0,0,0
France,Female,38,0.0,3 or more,0,0,1
Spain,Female,27,133806.54,2,1,0,0
Spain,Male,44,0.0,2,1,0,1
France,Male,32,124993.29,2,1,1,0
Spain,Female,44,157622.58,1,1,1,0
Germany,Male,48,126111.61,1,0,1,0
France,Male,42,161651.37,2,1,1,0
France,Female,40,142856.95,2,0,0,0
Germany,Male,44,111100.98,1,1,1,1
Spain,Male,35,102918.38,1,1,1,0
France,Female,30,0.0,2,1,0,0
France,Male,47,0.0,2,1,0,0
France,Male,37,0.0,2,1,0,0
Spain,Male,22,125265.61,1,1,1,0
France,Male,37,82500.28,1,1,1,0
Germany,Female,64,175754.87,2,1,1,0
France,Female,47,109387.33,1,0,0,0
France,Male,37,100443.36,2,0,1,0
Spain,Female,54,83102.72,2,1,1,0
Spain,Male,28,0.0,1,1,1,0
France,Female,28,0.0,2,1,0,0
France,Female,40,0.0,2,1,0,0
France,Female,48,115290.27,1,0,0,1
France,Female,42,0.0,2,1,0,0
France,Female,40,140197.71,2,1,0,0
France,Female,28,105245.34,1,0,1,0
France,Male,50,0.0,2,0,1,0
France,Male,32,0.0,2,1,1,0
Germany,Male,35,142296.13,1,0,1,0
Spain,Female,56,99097.33,1,1,1,1
France,Male,28,171069.39,2,1,1,0
France,Female,39,0.0,2,0,0,0
France,Female,31,102523.88,1,1,1,0
France,Male,35,0.0,2,1,1,0
Germany,Male,44,143391.07,1,0,0,1
Germany,Female,44,106022.73,2,0,0,0
Spain,Female,36,0.0,1,1,0,0
Germany,Male,36,128960.21,2,1,1,0
France,Female,35,0.0,2,1,0,0
France,Female,48,0.0,2,1,0,0
France,Female,24,0.0,2,1,0,0
France,Female,25,126442.59,1,1,0,0
Spain,Male,51,0.0,1,1,1,0
France,Male,37,127261.35,1,1,0,0
Spain,Female,32,0.0,2,1,0,0
France,Female,33,0.0,1,1,0,0
France,Female,34,0.0,2,0,0,0
Germany,Male,30,73481.05,1,1,1,0
France,Male,34,160515.37,1,1,0,0
Germany,Female,61,149525.34,2,1,0,0
Germany,Male,43,166522.78,1,0,0,1
France,Male,29,135536.5,1,1,0,0
Germany,Female,43,120481.69,1,0,0,1
Spain,Male,28,103421.32,1,0,1,0
France,Male,33,135658.73,2,0,1,0
France,Female,36,0.0,2,1,1,0
France,Male,28,191402.82,2,1,0,0
Germany,Male,50,94504.35,1,0,1,0
Germany,Female,44,126147.84,1,0,1,1
France,Female,46,0.0,1,1,1,0
France,Male,33,0.0,2,1,0,0
France,Male,43,87624.03,2,1,0,0
France,Female,45,153697.53,2,0,0,1
France,Female,25,0.0,2,0,0,0
France,Male,39,0.0,1,1,0,0
Germany,Female,45,116585.97,1,1,0,1
Germany,Male,34,134464.58,2,1,0,0
Germany,Male,62,83008.31,1,1,1,0
Spain,Male,35,113635.16,1,1,0,0
Spain,Female,36,0.0,2,1,0,0
Germany,Male,41,122552.48,2,0,1,0
Spain,Male,31,118899.45,2,0,0,0
France,Female,29,99713.87,1,0,0,0
France,Female,36,0.0,1,0,0,0
France,Female,36,134208.22,1,0,1,0
Germany,Female,41,85906.65,3 or more,1,0,0
Germany,Male,32,137714.25,1,0,1,0
Spain,Male,33,160777.9,1,1,1,0
France,Male,45,0.0,2,1,1,0
France,Male,21,0.0,2,0,0,0
France,Male,25,102585.88,2,1,1,0
Germany,Female,39,102556.18,2,1,0,1
Germany,Male,42,126772.57,1,0,1,0
Germany,Female,38,158373.23,1,1,1,0
France,Female,34,0.0,2,1,0,0
Germany,Male,42,141927.1,1,1,1,0
Spain,Male,47,109876.82,2,1,0,1
France,Female,34,0.0,2,1,1,0
Germany,Male,44,111369.79,2,1,1,0
Spain,Male,35,116969.35,1,0,0,0
Germany,Female,34,136729.51,2,0,0,0
Germany,Female,44,152086.15,1,0,1,1
Spain,Male,46,0.0,2,1,0,0
Spain,Male,28,127289.28,1,0,0,0
Germany,Male,45,119852.01,1,0,0,1
Spain,Male,38,0.0,2,1,1,0
Spain,Female,41,0.0,2,0,1,0
France,Male,35,0.0,1,1,1,0
France,Female,35,117183.74,1,1,1,0
France,Male,33,129907.63,1,0,1,0
Spain,Female,78,0.0,2,0,1,0
Germany,Female,36,145387.32,2,1,1,1
France,Male,35,124616.23,1,1,1,0
France,Male,31,0.0,2,1,0,0
Spain,Female,48,95808.19,1,0,0,1
France,Male,35,0.0,2,1,0,0
France,Female,42,0.0,2,0,1,0
Spain,Female,36,117152.3,1,0,0,0
France,Male,35,106250.72,1,0,0,0
Germany,Female,27,111837.78,2,1,1,0
France,Male,47,97023.21,1,1,1,0
France,Female,31,137687.72,1,1,0,0
Spain,Female,40,113348.5,1,1,1,0
Spain,Male,24,122109.78,1,1,1,0
France,Male,32,120452.4,2,0,0,0
France,Female,53,0.0,2,1,1,0
Spain,Male,34,65812.35,2,0,1,0
Spain,Female,40,54428.37,1,1,0,1
France,Female,75,0.0,2,1,1,0
France,Male,33,0.0,2,1,0,0
Germany,Female,48,143279.58,2,1,0,1
Germany,Male,32,103846.65,1,1,0,0
France,Male,37,125190.86,1,0,1,0
France,Female,33,0.0,2,0,1,0
France,Male,65,38340.02,1,1,0,1
Germany,Female,28,123802.98,2,1,1,0
France,Male,37,96651.03,1,1,1,0
France,Male,33,0.0,2,1,0,0
France,Male,39,0.0,2,0,0,0
France,Male,43,133237.21,1,1,0,1
France,Female,61,142105.35,1,1,1,0
France,Male,37,166115.42,1,1,0,0
France,Female,37,81070.34,2,1,0,0
France,Male,35,0.0,1,1,1,0
France,Female,53,123835.52,2,0,1,0
France,Male,51,123401.43,2,1,1,0
Germany,Male,49,169377.31,1,1,1,0
France,Male,38,130015.24,1,1,1,0
France,Male,32,0.0,2,0,1,0
France,Male,34,133936.04,2,1,0,0
France,Male,34,114543.27,1,1,1,0
France,Female,31,119794.67,1,0,0,0
France,Male,33,0.0,2,1,1,0
Spain,Male,44,0.0,1,1,0,0
France,Female,29,0.0,2,0,1,0
Germany,Female,32,157138.99,3 or more,1,0,1
Spain,Male,45,0.0,2,1,1,0
Germany,Female,41,136733.24,1,1,1,0
Germany,Female,28,82498.14,2,0,0,0
Spain,Male,39,151914.93,1,0,0,0
France,Male,43,80090.93,1,1,0,1
Spain,Male,51,83739.32,1,0,1,0
France,Female,35,181166.44,1,1,1,1
France,Male,38,130588.82,1,1,1,0
France,Male,42,0.0,2,1,0,0
Germany,Male,33,94126.67,1,0,0,0
France,Male,32,0.0,2,1,0,0
France,Male,38,148045.68,1,1,0,1
France,Male,38,0.0,2,1,0,0
Spain,Male,33,0.0,2,1,0,0
France,Female,44,168165.84,1,0,1,0
Germany,Female,26,72835.56,2,1,0,0
France,Male,41,0.0,2,1,0,0
Germany,Male,31,123212.08,2,1,1,0
Spain,Male,38,0.0,2,1,1,0
Spain,Female,39,0.0,2,1,1,0
France,Male,40,119501.88,2,1,0,0
Germany,Female,39,144550.83,2,1,1,0
Germany,Male,34,126729.41,1,1,1,1
Germany,Male,36,119984.07,1,1,0,1
France,Male,35,0.0,1,1,0,0
Spain,Female,56,0.0,1,1,1,1
Spain,Male,42,121490.05,1,1,1,0
Spain,Male,46,91897.8,1,1,0,0
Spain,Male,39,139443.75,2,1,0,0
Germany,Male,35,144961.97,1,0,1,0
Germany,Male,42,126041.02,1,0,1,0
Germany,Male,28,69459.05,2,1,1,0
France,Male,38,198338.77,2,1,1,0
France,Male,36,0.0,2,1,0,0
Germany,Male,35,109196.66,3 or more,1,0,1
Spain,Female,38,134168.5,3 or more,1,0,1
France,Male,34,0.0,1,1,1,0
France,Male,29,0.0,1,1,0,0
Spain,Female,36,0.0,2,1,1,0
France,Male,40,0.0,2,1,1,0
Germany,Male,65,120100.41,1,1,0,1
France,Female,62,0.0,1,1,1,0
Spain,Female,50,0.0,2,1,0,0
Spain,Male,22,0.0,2,0,0,0
Spain,Male,30,0.0,2,1,0,0
Spain,Male,67,0.0,2,1,1,0
France,Male,38,0.0,1,0,0,0
Spain,Female,31,0.0,2,0,1,0
Spain,Female,31,0.0,2,1,0,0
Germany,Male,38,135559.8,2,1,1,0
Germany,Female,25,150355.35,2,1,1,0
France,Female,37,0.0,2,1,1,0
France,Female,35,133489.12,2,1,1,0
Germany,Female,37,105489.31,1,0,0,1
Germany,Male,25,60205.2,2,1,0,0
France,Male,38,0.0,2,1,0,0
Spain,Male,19,0.0,2,0,0,0
Spain,Male,50,0.0,1,1,0,1
France,Male,40,0.0,1,1,1,0
France,Male,33,0.0,1,0,1,0
Spain,Male,35,0.0,3 or more,0,1,1
France,Female,42,112333.63,1,1,1,0
Germany,Female,57,116936.81,1,1,1,0
Germany,Female,50,117721.02,1,0,1,1
France,Male,37,165896.22,2,1,1,0
Spain,Female,44,153656.85,1,1,0,0
France,Female,50,94164.0,1,1,1,0
Spain,Male,39,0.0,2,1,0,0
France,Male,49,191808.73,1,0,0,0
France,Male,58,152199.33,1,1,1,0
Germany,Female,52,125396.24,1,1,0,1
Germany,Male,41,104405.54,3 or more,1,0,0
France,Female,27,133801.49,1,1,1,0
Spain,Female,40,0.0,3 or more,1,0,0
France,Female,28,0.0,2,0,0,0
Germany,Male,42,100047.33,1,1,0,0
France,Female,31,109848.6,1,1,1,0
France,Female,32,127849.38,1,1,0,0
Spain,Female,46,0.0,2,1,1,0
France,Female,29,95947.76,1,1,0,0
Spain,Male,26,0.0,2,1,1,0
France,Male,43,137638.69,1,1,0,1
France,Male,38,0.0,1,1,1,0
Spain,Male,41,0.0,2,1,1,0
France,Male,31,0.0,2,0,0,0
France,Female,44,0.0,2,0,0,0
France,Male,38,89416.99,1,0,0,0
Spain,Male,42,0.0,2,1,1,0
Spain,Female,45,0.0,1,1,0,0
France,Female,60,143262.04,1,1,1,0
Spain,Female,35,119656.45,2,1,1,0
France,Male,29,132954.64,1,1,1,0
Germany,Female,44,105206.7,2,1,1,0
Spain,Male,28,0.0,2,0,0,0
Spain,Female,37,83061.26,2,1,0,0
France,Male,40,147650.68,1,1,1,0
France,Male,44,73348.56,1,1,0,1
France,Male,28,0.0,2,1,0,0
France,Female,38,0.0,2,0,0,0
Spain,Female,27,116320.68,1,0,1,0
France,Male,33,0.0,2,0,1,0
France,Female,29,0.0,2,1,1,0
France,Female,38,0.0,2,0,0,0
France,Male,61,66250.71,1,1,1,0
Germany,Female,24,95675.62,2,0,0,1
Germany,Male,42,92616.64,2,1,0,0
Spain,Female,41,0.0,1,1,0,0
Spain,Female,36,0.0,1,1,1,1
Spain,Female,37,100565.94,1,1,1,0
Spain,Female,42,190305.78,1,1,0,1
Germany,Female,35,118536.4,1,1,0,1
France,Male,19,127649.64,1,1,1,0
France,Male,35,165358.77,1,0,1,0
Spain,Male,29,0.0,2,1,1,0
Germany,Female,36,78249.53,1,1,0,0
Germany,Female,61,125193.96,1,1,1,0
France,Female,29,0.0,2,0,0,0
Germany,Female,41,154007.21,1,1,0,0
Spain,Female,43,133214.88,2,1,1,0
Spain,Male,63,146202.93,1,1,1,1
France,Female,27,0.0,2,1,0,0
France,Male,30,90963.49,1,0,1,0
Spain,Male,41,0.0,1,1,0,1
France,Female,52,0.0,1,1,0,1
Spain,Male,68,114386.85,1,1,1,0
France,Female,26,0.0,2,1,0,0
France,Female,40,0.0,2,0,1,0
France,Female,38,0.0,2,1,0,0
Spain,Male,71,137260.78,1,0,1,1
France,Male,33,111060.05,2,1,0,0
Spain,Male,60,124447.73,1,1,1,1
France,Female,34,0.0,2,1,1,0
France,Male,42,0.0,1,0,1,1
Germany,Male,33,135310.41,2,0,1,0
France,Male,32,0.0,2,1,0,0
France,Female,73,0.0,2,0,1,0
France,Male,29,0.0,2,1,0,0
Spain,Male,34,139393.19,2,0,0,0
Spain,Male,28,0.0,2,0,0,0
France,Female,26,104258.8,1,1,1,0
France,Female,26,0.0,2,0,1,0
Germany,Male,32,113447.01,1,1,0,0
France,Male,33,0.0,2,1,0,0
Germany,Female,33,111063.73,2,1,0,0
Germany,Female,30,161378.02,1,0,0,1
Spain,Female,39,82766.43,1,1,1,0
Spain,Male,29,0.0,2,1,0,0
France,Female,61,104267.7,1,1,0,1
France,Female,25,91718.8,1,0,0,0
Spain,Female,47,63488.7,1,0,1,1
Spain,Female,46,12459.19,1,0,0,1
Germany,Female,37,159863.9,2,0,1,0
Germany,Male,23,104592.55,2,1,0,0
Spain,Female,50,132088.59,1,1,1,0
Spain,Female,39,0.0,2,1,0,0
Spain,Male,44,120654.68,1,1,0,0
France,Female,30,0.0,2,1,0,0
France,Female,32,83772.95,1,0,1,0
France,Female,31,172325.67,1,0,1,0
France,Male,46,117685.31,2,1,1,0
France,Male,41,0.0,2,0,1,0
France,Male,39,0.0,2,0,0,0
Spain,Female,64,0.0,2,1,1,0
France,Male,35,135871.5,1,1,1,0
France,Male,41,0.0,3 or more,1,1,1
Germany,Female,49,128504.76,1,1,0,1
France,Male,36,0.0,2,1,0,0
France,Female,42,56228.25,1,1,0,0
Germany,Female,45,98792.4,1,1,0,1
Germany,Male,40,181768.32,2,1,1,0
Spain,Female,48,101198.01,1,1,1,0
France,Male,25,0.0,2,0,1,0
France,Female,60,0.0,2,1,1,0
France,Female,39,0.0,1,1,0,0
France,Male,34,139064.06,2,0,0,0
France,Female,35,104508.1,1,1,1,0
Germany,Male,35,113948.58,1,1,0,1
France,Male,47,0.0,2,0,1,0
France,Female,39,0.0,2,1,1,0
France,Male,31,0.0,2,0,1,0
Germany,Male,37,117524.72,2,0,1,0
France,Female,37,160389.82,1,0,1,0
France,Female,37,0.0,2,1,0,0
France,Male,27,125547.53,1,0,0,0
Spain,Male,46,92783.68,1,1,1,0
Germany,Male,49,97036.22,2,1,0,1
France,Male,34,0.0,2,0,0,0
France,Female,26,0.0,2,1,1,0
Spain,Male,40,102145.13,1,1,1,0
France,Female,33,113452.66,1,0,0,0
Spain,Female,46,155681.72,1,1,0,0
Germany,Male,38,127475.24,1,0,0,1
France,Male,41,0.0,2,1,1,0
France,Male,43,112751.13,1,1,1,0
France,Female,29,0.0,2,1,1,0
France,Male,45,144889.18,1,1,1,1
Spain,Male,40,0.0,2,1,1,0
France,Female,22,150126.44,1,1,0,1
France,Male,54,69712.74,1,1,1,0
Spain,Female,44,0.0,2,0,1,0
France,Male,31,0.0,2,0,0,0
Germany,Female,35,117438.92,2,1,1,0
France,Male,38,119315.75,1,1,0,0
France,Female,30,89571.59,1,1,1,0
Germany,Female,34,102251.57,1,1,0,0
France,Male,42,118546.71,1,0,1,0
France,Male,61,0.0,1,0,1,1
Spain,Male,38,103257.14,1,0,0,0
Spain,Female,43,124209.02,1,1,1,0
Spain,Male,32,0.0,2,1,1,0
Spain,Female,41,150302.84,1,1,1,0
Spain,Male,34,108653.93,1,0,1,0
France,Female,45,85325.93,1,0,0,0
France,Female,29,0.0,2,0,0,0
Germany,Male,37,135776.36,3 or more,1,0,1
France,Male,40,131411.24,1,1,1,0
Spain,Female,36,0.0,2,1,1,0
Spain,Female,41,0.0,2,0,0,0
Germany,Female,45,106431.97,2,1,1,0
France,Male,50,90305.76,1,1,1,0
Germany,Male,28,117466.03,2,1,1,0
France,Male,32,148884.47,2,1,1,0
Germany,Female,44,91115.76,2,0,0,1
Germany,Female,37,77373.87,2,0,1,0
Spain,Male,23,104744.89,1,1,0,0
France,Female,31,0.0,2,1,1,0
Germany,Male,39,91538.51,1,1,1,0
France,Female,32,0.0,2,1,1,0
France,Female,34,185734.75,1,1,1,0
France,Male,30,143396.54,2,1,1,0
France,Male,40,125909.85,1,1,1,0
France,Female,45,0.0,2,0,0,0
France,Male,36,154525.7,1,0,1,0
France,Female,29,0.0,1,1,0,0
France,Male,51,100654.8,1,1,0,0
Spain,Male,44,83325.77,1,0,1,0
France,Male,35,110934.54,1,1,0,0
Spain,Female,36,113680.54,1,0,0,0
Germany,Male,31,117020.08,2,1,0,0
France,Female,49,145359.99,1,1,0,0
Germany,Female,39,151391.68,1,1,0,1
Spain,Male,66,123935.35,1,1,1,0
France,Female,36,0.0,2,1,0,0
Spain,Male,40,70291.02,1,1,1,1
Germany,Female,42,166031.45,1,1,0,0
Germany,Male,36,96643.32,1,0,0,0
Spain,Female,33,0.0,2,0,1,0
France,Male,71,0.0,2,1,1,0
France,Male,29,0.0,2,1,1,0
France,Male,48,0.0,2,0,1,0
France,Male,40,0.0,2,0,0,0
Germany,Male,26,97268.1,2,1,0,0
France,Female,42,0.0,2,0,0,1
Germany,Female,55,76296.81,1,1,0,1
Spain,Male,27,0.0,2,1,0,0
Germany,Female,42,64497.94,3 or more,0,1,1
France,Male,38,0.0,1,1,0,0
Spain,Female,32,0.0,2,1,0,0
France,Male,57,0.0,2,1,1,0
France,Male,39,0.0,2,1,0,0
Spain,Female,45,0.0,2,1,1,0
France,Male,37,0.0,2,0,0,0
Spain,Male,54,134249.7,1,0,1,0
France,Female,45,0.0,1,1,1,1
France,Male,30,105443.68,1,1,1,0
Spain,Female,50,0.0,1,0,1,1
France,Male,35,0.0,2,1,0,0
Spain,Male,38,0.0,2,0,0,0
Germany,Female,35,86147.46,2,1,0,1
Spain,Female,38,96939.06,1,1,1,0
Spain,Male,47,106758.6,1,1,1,0
France,Female,33,112528.65,2,1,0,0
France,Male,60,116563.58,1,1,0,1
France,Male,32,0.0,1,1,1,0
Spain,Female,42,0.0,2,0,0,0
Spain,Female,38,141786.78,1,0,1,0
France,Male,41,136416.82,1,0,1,0
France,Male,30,0.0,2,1,0,0
Germany,Female,40,133245.52,2,1,1,0
Germany,Female,41,90757.64,2,0,1,0
France,Male,43,92350.36,1,0,1,0
Germany,Male,69,78778.49,1,0,1,0
Germany,Female,34,102143.93,2,1,1,0
France,Male,29,0.0,1,1,1,0
Germany,Male,37,98459.6,1,0,0,0
Germany,Female,47,114603.76,2,1,0,1
Spain,Male,35,0.0,2,1,0,0
Germany,Female,51,148074.79,1,1,0,1
Spain,Male,36,0.0,3 or more,1,1,1
Spain,Female,62,108004.64,1,1,1,1
Germany,Female,29,107712.57,2,1,1,0
Spain,Male,35,0.0,2,1,1,0
Spain,Female,37,0.0,3 or more,1,0,0
France,Male,32,145303.52,1,1,0,0
Germany,Male,37,138476.41,2,1,1,0
France,Female,27,127471.56,1,1,1,1
France,Male,26,156551.63,1,0,1,0
Germany,Female,49,97092.87,1,1,0,1
France,Male,32,0.0,2,1,0,1
Spain,Male,37,129312.79,1,1,1,0
Germany,Female,29,100315.1,2,1,1,0
France,Female,35,81684.97,1,1,0,0
Spain,Male,51,88827.53,1,0,0,1
Germany,Male,40,152092.44,2,1,1,0
Spain,Male,71,0.0,2,1,1,0
France,Female,49,0.0,1,1,0,1
Spain,Female,38,102406.76,1,0,1,0
France,Male,21,109130.96,2,1,1,0
France,Male,29,0.0,2,1,1,0
Germany,Male,33,75242.28,1,0,1,0
Spain,Male,29,0.0,2,1,0,0
France,Female,45,0.0,1,0,0,1
Germany,Male,33,129142.54,2,1,1,0
France,Male,51,0.0,1,0,0,0
Germany,Female,22,139129.92,1,1,1,0
Spain,Male,33,0.0,2,0,1,0
Spain,Male,22,66483.32,1,0,1,0
Germany,Male,40,62389.03,3 or more,1,0,1
France,Female,34,0.0,2,1,1,0
France,Male,46,91857.66,1,1,0,1
Spain,Male,31,0.0,2,1,0,0
France,Female,56,0.0,1,1,0,1
France,Female,30,176173.52,1,1,0,1
Spain,Male,38,0.0,1,0,1,0
France,Female,37,131834.76,2,1,0,0
France,Male,48,92347.96,1,1,1,0
France,Male,40,0.0,2,1,1,0
France,Male,40,95297.11,1,0,0,0
France,Female,32,0.0,2,0,0,0
France,Male,39,0.0,1,1,0,0
France,Female,53,123845.36,2,0,1,1
Germany,Male,62,143426.34,2,1,1,0
France,Male,46,0.0,1,1,1,0
Germany,Male,31,112708.2,1,0,1,0
France,Male,43,100013.51,1,1,0,0
France,Female,33,208165.53,1,0,0,1
Spain,Male,21,0.0,2,0,1,0
France,Female,40,0.0,1,1,0,1
France,Male,19,0.0,2,1,1,0
France,Female,33,121685.31,2,1,1,0
France,Male,39,111525.02,1,1,0,0
France,Male,26,0.0,2,0,0,0
Germany,Male,36,113546.3,1,1,1,0
France,Male,41,95696.52,2,1,1,0
France,Male,28,88963.31,2,1,1,0
Spain,Male,31,144880.34,2,0,1,0
France,Male,55,136576.02,1,0,1,1
France,Female,38,63093.01,1,1,1,0
Germany,Male,38,132271.12,2,1,1,0
France,Female,29,88814.4,2,1,1,0
Germany,Male,40,90594.55,1,0,1,0
Germany,Female,33,141816.25,1,1,0,1
France,Female,54,138547.97,1,1,1,1
France,Female,31,52192.08,2,0,1,0
